,L,S,C,A
Class_0_ChatGPT,-11.171406139112554,-3.80400359061138,-0.016251333655727472,-0.15149588206759765
Class_1_AI-Polished,-5.720584962899762,1.3744771635466744,-0.05977130071432796,0.20241205118248962
Class_2_Human-Fusion,-0.2813161633314114,-1.0074509166614463,-0.02639021875960708,-0.13908788024898788
Class_3_Human,17.173307265343865,3.4369773437261557,0.10241285312965978,0.08817171113409496
